,Arousal,Compound,Dominance,Flair,POS nlkt,POS spcy,POS stza,Stanza,Subjectivity,Valence,category,word
13300,0.45,0.0,0.53,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.54,pos hp,grindstone
13301,0.45,0.0,0.51,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.54,pos hp,gringo
13302,0.5,0.0,0.6,POSITIVE,NOUN,NOUN,PROPN,1.0,0.0,0.7,pos hp,groom
13303,0.5,0.0,0.6,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.67,pos hp,grounds
13304,0.38,0.0,0.59,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.5,pos hp,groundwork
13305,0.4,0.0,0.68,POSITIVE,NOUN,PROPN,ADJ,1.0,0.0,0.73,pos hp,grownup
13306,0.34,0.25,0.81,POSITIVE,NOUN,VERB,NOUN,2.0,0.0,0.95,pos hp,guarantee
13307,0.34,0.0,0.82,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.65,pos hp,guaranty
13308,0.43,0.0,0.77,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.51,pos hp,guardhouse
13309,0.37,0.0,0.68,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.59,pos hp,guardianship
13310,0.49,0.0,0.56,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.72,pos hp,guest
13311,0.47,0.0,0.72,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.73,pos hp,guidance
13312,0.32,0.0,0.62,POSITIVE,NOUN,VERB,NOUN,1.0,0.0,0.69,pos hp,guide
13313,0.46,0.0,0.73,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.58,pos hp,guild
13314,0.36,0.0,0.65,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.57,pos hp,guru
13315,0.37,0.0,0.55,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.58,pos hp,guy
13316,0.39,0.0,0.51,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.5,pos hp,gyroscope
13317,0.23,0.0,0.58,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.62,pos hp,habit
13318,0.34,0.0,0.55,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.63,pos hp,habitat
13319,0.23,0.0,0.54,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.78,pos hp,habitation
13320,0.32,0.0,0.58,POSITIVE,ADV,PROPN,ADV,1.0,0.0,0.6,pos hp,habitually
13321,0.4,0.0,0.57,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.69,pos hp,hacienda
13322,0.5,0.0,0.73,POSITIVE,VERB,PROPN,VERB,1.0,0.0,0.74,pos hp,hallowed
13323,0.22,0.0,0.57,POSITIVE,NOUN,X,NOUN,1.0,0.0,0.6,pos hp,handbook
13324,0.35,0.0,0.59,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.65,pos hp,handheld
13325,0.33,0.0,0.56,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.72,pos hp,handicraft
13326,0.33,0.0,0.55,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.56,pos hp,handout
13327,0.38,0.0,0.64,POSITIVE,NOUN,ADJ,ADJ,1.0,0.9,0.74,pos hp,handy
13328,0.36,0.0,0.63,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.59,pos hp,harbor
13329,0.29,0.0,0.69,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.59,pos hp,hardware
13330,0.23,0.15,0.51,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.85,pos hp,harmonica
13331,0.4,0.36,0.57,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.86,pos hp,harmonics
13332,0.39,0.46,0.72,POSITIVE,ADJ,ADJ,ADJ,2.0,0.0,0.94,pos hp,harmonious
13333,0.27,0.44,0.65,POSITIVE,ADV,ADV,ADV,2.0,0.0,0.97,pos hp,harmoniously
13334,0.46,0.4,0.61,POSITIVE,NOUN,PROPN,VERB,1.0,0.0,0.94,pos hp,harmonize
13335,0.23,0.4,0.51,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.95,pos hp,harmony
13336,0.35,0.0,0.55,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.78,pos hp,harvest
13337,0.39,0.0,0.59,POSITIVE,VERB,AUX,VERB,1.0,0.0,0.76,pos hp,have
13338,0.27,0.0,0.55,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.68,pos hp,haven
13339,0.47,0.0,0.56,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.53,pos hp,head
13340,0.47,0.0,0.53,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.67,pos hp,headband
13341,0.44,0.0,0.57,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.54,pos hp,headgear
13342,0.29,0.0,0.64,POSITIVE,VERB,VERB,NOUN,1.0,0.0,0.55,pos hp,heading
13343,0.24,0.0,0.69,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.63,pos hp,headline
13344,0.49,0.0,0.62,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.5,pos hp,headliner
13345,0.27,0.0,0.53,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.61,pos hp,headquarter
13346,0.27,0.0,0.53,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.61,pos hp,headquarters
13347,0.46,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.82,pos hp,headway
13348,0.24,0.0,0.56,POSITIVE,NOUN,PROPN,VERB,1.0,0.0,0.77,pos hp,heal
13349,0.38,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.86,pos hp,healer
13350,0.45,0.0,0.58,POSITIVE,VERB,PROPN,NOUN,1.0,0.0,0.75,pos hp,healing
